nameOfAuthor,listOfAuthors,studentPublication,title,typeOfPublication,nameOfPublicationPlatform,scopus,wos,publicationDetails,year,month,academicYear,url,doi,identificationNumber,indexing,noOfCitations,abstract,keywords,specialization,status,link,dateOfPublication,Unnamed: 23,Unnamed: 24,Unnamed: 25
Dr.N.Sudhakar Yadav,"N Sudhakar Yadav, B Eswara Reddy, KG Srinivasa",No,An efficient sensor integrated model for hosting real-time data monitoring applications on cloud,"Journal
",International Journal of Autonomic Computing,No,No,"Volume 3,Issue 1,Pages 18-33",2018.0,June,2018-19,https://www.inderscienceonline.com/doi/abs/10.1504/IJAC.2018.092562,https://doi.org/10.1504/IJAC.2018.092562,,inderscience,8.0,"Wireless sensor networks (WSNs) have become an integral part of healthcare monitoring applications and also using in a wide range of domains such as environmental monitoring, healthcare, asset monitoring modern warfare scenarios, industrial and production monitoring. A number of solutions have been proposed so far which provides assimilation of data on an hourly basis and the capability of sensors are approximated to almost ideal situation. With the exploration and advancement in the field of internet of things (IoT), the focal point has shifted towards the interoperability of WSNs and a cloud-based central data repository which collaborates and comprehends a uniquely identifiable internet like structure. This bottom up internet-like structure has paved the way for a sensor integrated cloud-based architecture REALSENSE. This paper provides a detailed run down on the REALSENSE architecture which integrates WSN with Internet of Things in a robust efficient approach. Using the REALSENSE architecture, a set of real-time applications can be deployed, some of them are illustrated in this paper.","wireless sensor networks, WSNs, internet of things, IoT, centralised management system, CMS, interactive voice response system, IVRS, unstructured supplementary service data, USSD, application programming interface, API",,,,2018-06-25,,,
Dr.N.Sudhakar Yadav,"N Sudhakar Yadav, KG Srinivasa, B Eswara Reddy",No,An iot-based framework for health monitoring systems: A case study approach,"Journal
",International Journal of Fog Computing (IJFC),No,No,"Volume 2,Issue 1,Pages 43-60",2019.0,January,2019-20,https://www.igi-global.com/article/an-iot-based-framework-for-health-monitoring-systems/219360,10.4018/IJFC.2019010102,,igi Global,10.0,"A software framework is a reusable design that requires various software components to function almost out of the box. To specify a framework, the creator must specify the different components that form the framework and how to instantiate them. Also, the communication interfaces between these various components must be defined. In this article, the authors propose such a framework based on the internet of things (IoT) for developing applications for handling emergencies of some kind. This article demonstrates the usage of the framework by explaining various applications such as tracking the status of autistic students, analytics on medical records to detect and mitigate chronic heart diseases in the Indian demographic, prediction of Parkinson's disease, determining the type of disease that corresponds to the dermatology field, and health monitoring and management using internet of things (IoT) sensing.",,,,,2019-01-01,,,
Dr.N.Sudhakar Yadav,"Neelakantan, P.",No,Multi objective task scheduling based on hybrid metaheuristic algorithm for cloud environment,journal,Multiagent and Grid Systemsthis link is disabled,Yes,No,"2022, 18(2), pp. 149169",2022.0,August,2022-23,https://content.iospress.com/articles/multiagent-and-grid-systems/mgs220218,,ISSN 1574-1702,Ios Press,0.0,"Cloud computing is gaining a huge popularity for on-demand services on a pay-per-use basis. However, single data centre is restricted in offering the services, as it does not have unlimited resource capacity mostly in the peak demand time. Generally, the count of Virtual Machines (VM) is more in public cloud; still, the security is not ensured. In contrast, the VMs are limited in private cloud with high security. So, the consideration of security levels in task scheduling is remains to be more critical for secured processing. This works intends to afford the optimization strategies for optimal task scheduling with multi-objective constraints in cloud environment. Accordingly, the proposed optimal task allocation framework considers the objectives such as execution time, risk probability, and task priority. For this, a new hybrid optimization algorithm known as Clan Updated Seagull Optimization (CUSO) algorithm is introduced in this work, which is the conceptual blending of Elephant Herding Optimization (EHO) and Seagull Optimization Algorithm (SOA). Finally, the performance of proposed work is evaluated over other conventional models with respect to certain performance measures","Cloud computing, virtual machine, task scheduling, optimization, execution time",,,,2022-08-30,,,
Dr.N.Sudhakar Yadav,"N Sudhakar Yadav, Murali Krishna, I Sapthami, Ch Mallikarjuna Rao, DV Lalita Parameswari",No,"
Sustainable Efficient Solutions for Smart Agriculture: Case study","Book
",IoT and Big Data Analytics for Smart Cities,No,No,Pages 175-199,2022.0,December,2022-23,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003217404-9/sustainable-efficient-solutions-smart-agriculture-sudhakar-yadav-murali-krishna-sapthami-ch-mallikarjuna-rao-lalita-parameswari,,,taylorfrancis,2.0,"Pandemic management via technologies like Internet of Things, artificial intelligence, 5G, Blockchain have made huge impact across the world in these difficult times. The current pandemic situation has given rise to many behavioral and socio-economical changes in our society. This has also given rise to the use of technologies like Internet of Things, artificial intelligence to solve the real-world problems of COVID-19 pandemic. This chapter discusses the security and privacy issues of using IoT for pandemic management especially the security and privacy challenges of contact tracing using IoT and mobile phones. Identifying the infected individuals and those who have been in contact with the infected individual has become a major concern among the government organizations and is termed as Contact tracing. This process of contact tracing prevents the community spreading of the disease. Many governments are trying to identify the infected individuals using contact tracing mobile applications that are equipped with GPS, Bluetooth or NFC devices. This chapter will discuss the security and privacy methodology followed in contact tracing IoT applications all around the world and discusses the privacy issues faced by the users of contact tracing IoT applications.",,,,,2022-12-01,,,
Dr.N.Sudhakar Yadav,Sudhakar Yadav N;Sagar Yeruva;T Sunil Kumar;Talluri Susan,No,The Improved Effectual Data Processing in Big Data Executing Map Reduce Frame Work,conference,IEEE MysuruCon 2021,Yes,No,"IEEE, 2021",2021.0,October,2021-22,https://ieeexplore.ieee.org/document/9641660,DOI: 10.1109/MysuruCon52639.2021,,IEEE Explorer,5.0,"By addressing problems that have previously been highlighted in the literature review, the most important objective of this research is to create a MapReduce Framework that is closer to reality than it has been so far. Because the proposed ERDFMF method professionally stabilizes the scheme and has better MapReduce performance in both data storage and data processing than the other RDF Stores, this technique is a preferable choice over the other alternatives. How much data is to be stored and processed, as well as how many times data from the databases will be retrieved from the databases, is determined by the main objective of the planned task. This will reduce the loading time of queries, the response time of queries, and the pace at which memory is used. In addition, it will improve scalability and CPU usage, as well as providing the greatest strength (robustness) for Query Evaluation Engines over the long term. There was a lot of discussion about the intended ERDFMF and how it was created with the help of the Java programming language and the Hadoop 2.7.1 tool in this research. The LUBM data collection contains information about universities that are generated via the usage of ontologies. 14 questions are typical of the test. The SP2B data set is helpful for scalability testing since it enables the testing of complex queries and data access patterns. There are a total of 16 questions, the vast majority of which have complex frameworks to them. This results in more secure and efficient storage solutions than existing storage technologies such as Jena Sesame, Allegro Graph, and Oracle Triple Store, among others. The purpose of this research is to find an efficient recommended new ERDFMF that will be more effective than previous RDF Stores by analyzing existing data","Hadoop,
Data Processing,
Map Reduce,
Performance,
Query Processing",,,,2021-10-22,,,
Dr.N.Sudhakar Yadav,"Sudhakar Yadav, B Eswara Reddy, KG Srinivasa",No,A centralized health monitoring system using health related sensors integrated to the mobile,"Journal
",International Journal of Vehicular Telematics and Infotainment Systems (IJVTIS),No,No,"
Volume 2,Issue 1,Pages 68-79",2018.0,January,2018-19,https://www.igi-global.com/article/a-centralized-health-monitoring-system-using-health-related-sensors-integrated-to-the-mobile/203685,10.4018/IJVTIS.2018010105,,igi Global,2.0,"This article describes how health sensors, which measure health parameters, are miniaturized to fit the size of a mobile. They aim to integrate these sensors along with a mobile so as to provide data measurement to the vast population which use the mobile, and thus, create regional grid networks. The authors aim to use the mobile for updating health parameters as well as be the focal point of communication of the health information. As a result, the mobile would provide targeted distribution of the health information, which is advantageous compared to the traditional means of mass distribution of information. Also, a mobile acts as a focal point of gathering health related parameters, it provides a twofold advantage for setting up a low-cost region-specific health monitoring system.
",,,,,2018-01-01,,,
Dr.N.Sudhakar Yadav,"Chinthala Akhil, Kalyana Srinivas Kandala, Anudeep Peddi, N Sudhakar Yadav, T Srinivasa Rao, I Neelima",No,Applications of Artificial Intelligence for Autonomous Landing and Multicopter Unmanned Aerial Vehicles Design by Space Exploration Machines,"Book
",Innovations in Signal Processing and Embedded Systems: Proceedings of ICISPES 2021,No,No,Pages 163-168,2022.0,september,2022-23,https://link.springer.com/chapter/10.1007/978-981-19-1669-4_15,https://doi.org/10.1007/978-981-19-1669-4_15,"ISBN 978-981-19-1668-7,ISBN 978-981-19-1669-4",springer,1.0,"Artificial intelligence plays a major role in space exploration. In this new era of space exploration, artificial intelligence is widely used for landing rover and crew and cargo, on mars, moon, and beyond. As a part of space exploration, landing the rover safely beyond earth without any damage and safety landing. So that rover can conduct the exploration on that planet. This paper will discuss about the landing system by using artificial intelligence, improvements for operability for future launch vehicles.","Artificial intelligence,Space,Rover,Landing",,,,2022-09-14,,,
Dr.N.Sudhakar Yadav,"N Sudhakar Yadav, Sreenivasulu Gogula, Ganti Krishna Sharma, Ch Mallikarjuna Rao, DV Lalita Parameswari",No,IoT and Big Data Analytics-Based Intelligent Decision-Making Systems,"Book
",IoT and Big Data Analytics for Smart Cities,No,No,Pages 101-119,2022.0,December,2022-23,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003217404-6/iot-big-data-analytics-based-intelligent-decision-making-systems-sudhakar-yadav-sreenivasulu-gogula-ganti-krishna-sharma-ch-mallikarjuna-rao-lalita-parameswari,,,taylorfrancis,2.0,"Decision-making systems play a crucial part in smart city traffic management system. With the exponential growth of vehicles, day-by-day traffic is getting heavier and more complex to avoid congestion. The sensors in and around the vehicles and the lanes generate an enormous variety of data, which shall be employed in predicting the traffic. IoT has its significance in communication with a number of connected heterogeneous devices and sensors. It is the purpose of smart city design to include a wide range of components into the overall design to expand the eminence of life of city residents. These components include intelligent transportation, intelligent communities, intelligent healthcare, and intelligent grids among others. The necessity for real-time processing as well as the exponential growth of data is, however, impeding the deployment of smart cities in the near future. Big Data analytics techniques are widely important in processing the data and also feature extraction thereby forecasting the traffic with the given data. IoT and Big Data analytics convergence is extremely important in making the smart transportation system to be more intelligent and decision-making systems to offer an optimal solution always. This chapter presents a methodology by means of the convergence of Internet of Things and Big Data analytics intended for better transportation and sustainability in urban transportation. The framework Decision-Making System Using Ensemble Learning (DMEL) employs extreme learning machine algorithm and random forest for decision-making process. The framework is evaluated, and further research paths are recommended.


",,,,,2022-12-01,,,
Dr.N.Sudhakar Yadav,Sudhakar Yadav N;Ravikanth Motupalli;K Jamal;Chalumuru Suresh,No,An Automated Rescue and Service System with Route Deviation using IoT and Blockchain Technologies,conference,IEEE MysuruCon 2021,Yes,No,"IEEE, 2021",2021.0,October,2021-22,https://ieeexplore.ieee.org/document/9641660,DOI: 10.1109/MysuruCon52639.2021,,IEEE Explorer,4.0,"By addressing problems that have previously been highlighted in the literature review, the most important objective of this research is to create a MapReduce Framework that is closer to reality than it has been so far. Because the proposed ERDFMF method professionally stabilizes the scheme and has better MapReduce performance in both data storage and data processing than the other RDF Stores, this technique is a preferable choice over the other alternatives. How much data is to be stored and processed, as well as how many times data from the databases will be retrieved from the databases, is determined by the main objective of the planned task. This will reduce the loading time of queries, the response time of queries, and the pace at which memory is used. In addition, it will improve scalability and CPU usage, as well as providing the greatest strength (robustness) for Query Evaluation Engines over the long term. There was a lot of discussion about the intended ERDFMF and how it was created with the help of the Java programming language and the Hadoop 2.7.1 tool in this research. The LUBM data collection contains information about universities that are generated via the usage of ontologies. 14 questions are typical of the test. The SP2B data set is helpful for scalability testing since it enables the testing of complex queries and data access patterns. There are a total of 16 questions, the vast majority of which have complex frameworks to them. This results in more secure and efficient storage solutions than existing storage technologies such as Jena Sesame, Allegro Graph, and Oracle Triple Store, among others. The purpose of this research is to find an efficient recommended new ERDFMF that will be more effective than previous RDF Stores by analyzing existing data","Hadoop,
Data Processing,
Map Reduce,
Performance,
Query Processing",,,,2021-10-24,,,
Dr.N.Sudhakar Yadav,R. Hruthik Chandra,,Artificial Intelligence Based Algorithms for Driver Distraction Detection: A Review,conference,ISPCC,Yes,No,ISPCC (pp. 383-386). IEEE.,2021.0,October,2021-22,https://ieeexplore.ieee.org/abstract/document/9609349,10.1109/ISPCC53510.2021.9609349,978-1-6654-2554-4,IEEE Explorer,4.0,"World Health Organization gave a report global road safety. Road accidents have turned to be more dangerous and they became the eighth most important reason for death. Out of this one fifth of them are caused due to the negligence of the driver. We discuss about the different types of algorithms which are more efficient based on the features that are detected by the algorithms. Comparison of algorithms is done to know the algorithms which work well for the specific set features detection. In driver distraction, there are many features like pupil diameter, hands location, head location etc., which are needed to be detected and predict the type of distraction. Each algorithm uses different kind of Artificial Intelligence models and does the predictions based on the features","Convolutional Neural Network (CNN),
Decision Tree,
Support Vector Machine (SVM)",,,,2021-10-01,,,
Dr.N.Sudhakar Yadav,Samardh Vadupu,,Skin Pathology Detection Using Artificial Intelligence,conference,IEEE ISPCCYes,No,No,pp. 373-376,2021.0,October,2021-22,https://ieeexplore.ieee.org/document/9609516/authors#authors,10.1109/ISPCC53510.2021,978-1-6654-2554-4,IEEE Explorer,6.0,Skin Cancer is a disturbing disease in modern life. This disease should be detected as early as possible to reduce the impact of the disease as the growth of Melanoma cancer is rapid and its treatment cost is so high. The death rate caused by the Melanoma cancer is also so high. As the detection of the cancer cells manually take long time which causes delay in the treatment. This paper is proposed to detect the effected cancer cells by utilizing image processing. After segmentation process the features are extracted. Here CNN is arranged to extract the features,"Convolution Neural Network,
Cancer,
Melanoma,
skin",,,,2021-11-18,,,
Dr.N.Sudhakar Yadav,"N Sudhakar Yadav, B Eswara Reddy, KG Srinivasa",No,Cloud-based healthcare monitoring system using Storm and Kafka,"Journal
",Towards extensible and adaptable methods in computing,No,No,"Pages 99-106,Publisher Springer Singapore",2018.0,,2018-19,https://link.springer.com/chapter/10.1007/978-981-13-2348-5_8,https://doi.org/10.1007/978-981-13-2348-5_8,"
SBN 978-981-13-2347-8,ISBN 978-981-13-2348-5",Springer,5.0,"With the significant development of the technology in the field of computer science, the concept of telemedicine is gaining popularity. Telemedicine enables the healthcare sector and its stakeholders such as doctors and nurses for monitoring patients. It enables to provide high-quality treatment irrespective of geographical conditions and remotely enabled. However, the key requirement for telemedicine is a well-equipped infrastructure for remote monitoring and analysis. Cloud computing with key features of scalability, dynamic provisioning, and service cloud models promises to be the infrastructure for such requirement. In this paper, a healthcare-based automation system using cloud has been proposed that collects the required health data for analysis.","Cloud,Healthcare,Data integration,Data storage",,,,2018-11-05,,,
Dr.N.Sudhakar Yadav,"S.Rama Subba Reddy, M.Ravi Kanth",No,Neual network based activity Recognition system,conference,ICICSE-2021,Yes,No,pp 511518,2021.0,september,2021-22,https://link.springer.com/chapter/10.1007/978-981-16-8987-1_54,DOI: 10.1007/978-981-16-8987-1_54,"LNNS,volume 385",Springer,1.0,"The pose recognition system points out the correct posture and position of the individual. This system helps the user identify the different postures of humans, and this type of recognition helps to monitor the movement in healthcare, defense, and sensitive areas of interest. The pose estimation algorithm with long short-term memory and convolution neural network is presented. Additionally, the results are compared","HCI,
Neural network,
Skeleton,
Object,
Detection",,,,2022-03-26,,,
Dr.N.Sudhakar Yadav,Mr.P.Balakesava Reddy,No,ML AND IOT BASED REAL-TIME HEALTH MONITORING SYSTEM FOR DOMESTIC ANIMALS,Journal,JOURNAL OF CRITICAL REVIEWS,Yes,No,"VOL 7, ISSUE 19, 2020",2020.0,September,2020-21,http://www.jcreview.com/?mno=26082,10.31838/jcr.07.19.1119,ISSN- 2394-5125,Journal of critical reviews,3.0,"Journal of critical reviews (JCR) is peer reviewed open access journal published bimonthly (onward May 2017). JCR  is designed to foster the exchange of ideas and transfer of knowledge between scientists and engineers involved in various Field that deal only with investigations or reviews in all fields . It is not limited to the specific details of science and engineering but is instead devoted to a very wide range of subfields in the all Engineering, sciences,Pharmacy,Management,Social Science and Humanities"," Engineering, sciences,Pharmacy,Management,Social Science, Humanities",,,,2020-09-01,,,
Dr.N.Sudhakar Yadav,"Dr.G.Sreenivasulu, Dr.Rajendra Chadalawada, Prof.Kuthadi Venu Madhav, Dr.B.Sujatha, Dr.Ganti Krishna Sharma, Dr.Selvaraj Rajalakshmi, Dr.Abhishek Ranjan, Dr.N.Sudhakar Yadav, Mr.Balakesava Reddy, Mrs.N.Thulasi Chitra, Dr Siva Shankar S",No,A PROFICIENT METHOD FOR CATEGORICAL DATA CLUSTERING,Patent,Indian Patent,,No,"APPLICATION NUMBER 202041035585, APPLICATION TYPE ORDINARY APPLICATION, DATE OF FILING 18/08/2020",2020.0,August,2020-21,https://ipindiaservices.gov.in/PatentSearch/PatentSearch/ViewApplicationStatus,https://ipindiaservices.gov.in/PatentSearch/PatentSearch/ViewApplicationStatus,,No,0.0,,,,,,2020-08-01,,,
Dr.N.Sudhakar Yadav,"Dr. P.Ezhumalai, Dr.M.Rajkumar, Dr. B.Kalpana, Mr.K.Chittibabu, Dr.N.Sudhakar Yadav, Dr.P.Shobha Rani, Mrs.K.Balasaranya",No,AN AIR GESTURE BASED SYSTEM FOR COMMUNICATING BETWEEN MULTIPLE IOT DEVICES,Patent,Indian Patent,No,No,Application No.202041030653 A,2020.0,July,2020-21,http://ipindia.gov.in/writereaddata/Portal/IPOJournal/1_4891_1/Part-1.pdf,,,No,0.0,"The present invention relates to a process for the preparation of polyolefin fibers having mean fiber diameters of less than 5000 nm,
comprising the steps of: a) preparing a polyolefin solution in a solvent, b) placing said polyolefin solution in a fiber producing device
comprising a body configured to receive said polyolefin solution, said body comprising one or more openings, and c) rotating the fiber
producing device, wherein rotation of the fiber producing device causes the polyolefin solution to be passed through said one or more
openings to produce polyolefin fibers having mean fiber diameters of less than 5000 nm, wherein said polyolefin is selected from the
group comprising polyethylene polymers and copolymers having a weight average molecular weight Mw of at least 40 000 daltons,
and polypropylene polymers and copolymers, having a weight average molecular weight Mw of at least 120 000 daltons; wherein said
fiber producing device is rotated at a speed of at least 10 000 revolutions per minutes (RPM). The invention also relates to said
polyolefin fibers, and to articles comprising said fibers","Agriculture ,Rotavator",,,,2020-07-01,,,
Keesara Sravanthi,"Keesara Sravanthi, Batturi Pavankalyan, Sharath Chandra gone, Pulishetty Manoj",Yes,A METHOD FOR DETECTING FRAUD ADVERTISEMENTS,Journal,High Technology Letters,No,No,"Volume 26, Issue 10, 2020, Pages 798-802",2020.0,October,2020-21,http://www.gjstx-e.cn/gallery/85-oct2020.pdf,https://doi.org/10.37896/HTL26.10/1983,ISSN NO : 1006-6748,No,0.0,,,,,,2020-10-01,,,
Keesara Sravanthi,"Sravanthi Keesara, Vijay Kumar Burugari, Prabha Selvaraj, Kanmani P, Amit Kumar Tyagi",No,Preserving Privacy Techniques for Autonomous Vehicles,Journal,International Journal of Emerging Trends in Engineering Research,yes, No,"Volume 8. No 9, Pages 5180-5190",2020.0,September,2020-21,http://www.warse.org/IJETER/static/pdf/file/ijeter48892020.pdf,https://doi.org/10.30534/ijeter/2020/48892020,ISSN 2347 - 3983,Warse,0.0,"In this automated world, there will be increase in population,
more city development and less space for parking results in
parking related problems. In our day-to-day life vehicle
became an important resource. To go anyplace we require a
vehicle, when we are using vehicle, parking will be the big
problem. Due to insufficient parking lots and no knowledge
about the parking lots (i.e., do not the parking lots places). To
park a vehicle manually we have to wait in line to take the
token for parking which is a time-consuming process. There
is a need to find a secured, smart, efficient system for finding
nearest unoccupied parking lots, to reserve parking lot,
guidance to navigate to parking lot, to negotiate parking fee
and finally to secure the vehicle in parking places. Smart
parking system is introduced by Intelligent Transport Systems
(ITS). This article gives an overview on different smart
parking services like reserving parking lots, navigating to
parking lots, finding nearest parking lots, how to provide
security to vehicle. It shows the cons and pros of every smart
parking system","Privacy, Autonomous Vehicles, parking,
Security, Block chain Technology",,,,2020-09-01,,,
Keesara Sravanthi,P Chandrasekhar,No,An Efficient Multi-User Groupwise Integrity CP-ABE (GI-CPABE) for Homogeneous and Heterogeneous Cloud Blockchain Transactions,"Journal
",J. Electrical Systems,No,No,"Volume 20,Issue 1,Pages 326-349",2024.0,,2023-24,https://www.journal.esrgroups.org/jes/article/view/685,https://doi.org/10.52783/jes.685,,journal ,0.0,"As the size of medical data grows exponentially, safeguarding Electronic Health Records (EHR) via cloud blockchain transactions becomes increasingly critical. This paper presents the Multi-User Groupwise Integrity Ciphertext-Policy Attribute-Based Encryption (GI-CPABE), an efficient framework designed to ensure robust data security. By implementing an Improved Ciphertext-Policy Attribute-Based Encryption (ICP-ABE), the GI-CPABE framework is designed to be compatible with both homogeneous and heterogeneous cloud environments, providing secure access that is role-specific and reliable. A distinctive feature of this framework is its role-based access control mechanism, which efficiently assigns user access rights and roles based on multi-user group attributes, considered as integrity measures. An experimental setup was established on a real-time cloud server, simulating a cloud based EHR system. Test data, mimicking real-world EHRs, was generated and subjected to encryption and decryption processes, evaluating the time efficiency of these operations. The proposed GI-CPABE framework demonstrated optimized storage utilization by calculating the overhead of encrypted data, ensuring data integrity through defined attribute-based policies, and enabling secure, controlled access to medical data. Furthermore, a comparative analysis was conducted to ascertain the effectiveness of the proposed framework against existing models. The implementation of access control mechanisms exhibited robust enforcement of access controls tailored to different user roles such as healthcare providers, patients, and administrators.","Group integrity, group access control ,Cloud data security, encryption, Blockchain, medical data.
",,,,2024-01-01,,,
Keesara Sravanthi,"Keesara. Sravanthi, A. Srinivas, G. Narsing Rao, T. Raghu, P. Rakesh",Yes,A Novel Based Approach to Detect and Take Action Against Network Intrusion in Virtual Machine Network System,Journal,Int. J. Sc. Res. in Network Security and Communication,No,No,"Volume-8, Issue-4, August 2020, Pages 10-13",2020.0,August,2020-21,https://www.ijsrnsc.org/pub_paper/IJSRNSC/3-IJSRNSC-00560.pdf,https://www.ijsrnsc.org/full_paper_view.php?paper_id=397,E-ISSN:2321-3256,Ijsrnsc,0.0,"The design of intrusion detection systems (IDS) has received significant attention in the field of computer
sciences with the massive number of network traffic and security risk. While various methods and strategies have been
proposed for tracking Client and company behaviour and analyzed together to detect network intrusion. As there is latent
information on further research in the classification and clustering of network packet signatures. We propose that the system
of intrusion detection based on network signatures and system studies should be supported in this article. We include a
KDDCUPSET which is used to store different modes of attacks and a multi - phase detector to identify potential intruders
more effectively and a text-based query generation framework to challenge the detector module's suspended requesters. If
qualities of a received System Packet contest are certified, the classification alerts the admin to the potential precaution with
the basis of cruel behavior and the classification must be above 90 percent accurate","Machine Learning algorithm, NIDS, Clustering, Packet signatures",,,,2020-08-01,,,
Keesara Sravanthi,"Meghna Manoj Nair, Shabnam Kumari, Amit Kumar Tyagi, Keesara Sravanthi",No,Deep learning for medical image recognition: open issues and a way to forward,"Conference
",Proceedings of the Second International Conference on Information Management and Machine Intelligence: ICIMMI 2020,No,No,"
Pages 349-365",2021.0,January,2021-22,https://link.springer.com/chapter/10.1007/978-981-15-9689-6_38,https://doi.org/10.1007/978-981-15-9689-6_38,"ISBN 978-981-15-9688-9,ISBN 978-981-15-9689-6",springer,7.0,"In the recent decade, deep learning has taken lead over available analysis techniques. Todays deep learning is used in diversified sectors like health care, traffic management, agriculture, etc. The expectations of researchers or people concerned with deep learning are very high. On another side, healthcare sector is totally different from other industry. It required serious attention, care of people and services (regardless of cost) towards patients; here, issue is a matter of patients life. Also, this sector requires a high budget and many people to work in parallel, to provide efficient services to each patient. The interpretations of data in the medical field are vested in the hands of medical experts, and this proves to be quite restrained because of the intervening sophistication, wide ranging varieties spread across a number of compilers, etc. The great victory of deep learning in real-time applications has led to the creation of striking results with extreme accuracy and precision, hence paving way to the spotlight in futuristic health sector applications. In this paper, we discussed state-of-the-art deep learning architecture and its optimization used for medical image segmentation and classification. Also, this sector discusses several useful components like open issues, challenges deep learning-based methods for medical imaging and future research directions.","Bioinformatics,Medical image processing,Data analytics,Machine learning,Deep learning",,,,2021-01-23,,,
Keesara Sravanthi,"KEESARA SRAVANTHI, P CHANDRA SEKHAR",No,AN EFFICIENT ELECTRONIC HEALTH RECORD (EHR) BASED INTEGRITY AND MCP-ABE MODEL FOR DISTRIBUTED BLOCK CHAIN FRAMEWORKS,"Journal
",Journal of Theoretical and Applied Information Technology,No,No,"Volume 101,Issue 3",2023.0,February,2023-24,https://www.jatit.org/volumes/Vol101No3/15Vol101No3.pdf,,ISSN: 1992-8645,jatit,0.0,"Most of the conventional cloud based security frameworks are applicable to provide data security on homogeneous electronic health records(EHRs) due to data size and computational time. In the unstructured EHRs, traditional models use limited data size with partial data security in cloud computing environment. In this work, a hybrid security framework is proposed in order to provide strong security to the block chain heterogeneous databases. In this work, homogeneous 2D EHRs and heterogeneous 3D EHRs are used to compare the proposed approach to the traditional approaches. Experimental results present the proposed heterogeneous data security framework has better efficiency than the conventional models in terms of computational overhead and average runtime(ms) computations.","
 EHR Data, Cloud 2D Data, Medical 3D Data, Attribute Based Encryption",,,,2023-02-15,,,
Keesara Sravanthi,"Keesara Sravanthi, P Chandra Sekhar",No,An Efficient Integrity Verification based Multi-User Cloud Access Control Framework using Block Chain Technology on EHR Database,"Journal
",International Journal of Intelligent Systems and Applications in Engineering,No,No,"Volume 12,Issue 9s,Pages 536549-536549",2024.0,January,2023-24,https://www.ijisae.org/index.php/IJISAE/article/view/4406,,,ijisae,0.0,"Most of the traditional block chain based medical applications are insecure and difficult to provide strong data integrity with variable size due to large number of transactions and data storage type. Conventional healthcare software often faces security risks due to their reliance on fixed variables. On the other hand, cloud storage solutions designed for medical use provide improved data protection and computational security through the use of blockchain-based data structures and advanced memory management. The challenge of ensuring data security intensifies as media files grow larger on both public and private cloud services. This complexity is further amplified by the variety of file formats and the multi-dimensional nature of the data. To address these challenges, a novel mathematical chaotic function based multi-client encryption and decryption model is proposed in order to improve traditional block-chain frameworks on large cloud electronic health record(HER) datasets. In this work, a hybrid dynamic-sized hash verification and encryption framework in a cloud environment to provide data security for large medical databases. The approach enhances security in a real-time cloud computing environment. Experimental results indicate that it outperforms traditional blockchain frameworks for medical data types.","cloud computing, block chain, electronic medical records, encryption",,,,2023-12-30,,,
Keesara Sravanthi,"CH Sathish, K Sravanthi, G Pujarani, P Rakesh, D Chandu, P Sravan Kumar",No,EFFECTIVE GRID-CONNECTED POWER INJECTION SCHEME USING MULTILEVEL INVERTER-BASED HYBRID WIND SOLAR ENERGY CONVERSION SYSTEM,Journal,International Research Journal of Modernization in Engineering Technology and Science ,No,No,"Volume 5,Issue 5",2023.0,may,2023-24,https://www.irjmets.com/uploadedfiles/paper/issue_5_may_2023/40528/final/fin_irjmets1685356185.pdf,,ISSN: 2582-5208 O736,irjmets,0.0,"This project presents an improved cascaded H-Bridge multilevel inverter (CHBMLI) based grid-connected
hybrid wind-solar energy conversion system (HWSECS) with the mandate of power quality. The wind energy
conversion system (WECS) and solar energy conversion system (SECS) are connected individually to isolated
dc-links of the CHBMLI through their respective DC/DC converters-based maximum power point tracking
(MPPT) system. The CHB topology when endorsed as PWM rectifier sustains with the capacitor unbalancing
issues among the dc- links feeding distinct dc loads and the same arises when piloted in regenerative operation
with distinct sources popping uneven power into each cell. The proposed HWSECS system suffers similar
unbalance voltages as two distinct sources (WECS and SECS) are augmented among isolated dc-links. The
author made efforts in exploiting the advantages of topology and concurrently inscribed the solution to the
hurdles during the system operation and control. The features of the proposed system and the control scheme
impart maximum power extraction from RES and injection into the grid along with other advantages. The
simulation studies have been carried out in MATLAB/Simulink and validated experimentally on a prototype by
using dSPACE-1104. In addition, the mathematical modeling of CHB-MLI-based HWSECS has been derived for
analysis.","Cascaded H-Bridge Multilevel Inverter, Maximum Power Point Tracking, Wind Energy Conversion
System.",,,,2023-05-05,,,
Keesara Sravanthi,"Sravanthi Reddy K, Shamila M, A.K Tyagi",No,Cyber Physical Systems: The Role of Machine Learning and Cyber Security in Present and Future,"Journal
",Computer Reviews Journal,No,No,"Volume 5,Pages 66-80",2019.0,December,2019-20,"https://scholar.google.com/scholar?hl=en&as_sdt=0,5&cluster=4931588386560724985&authuser=1",https://doi.org/10.52783/jes.685,,scholar,10.0,,,,,,2019-12-16,,,
